Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,102050473863.636
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,23612295818.0961
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1966461400.35833
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,16786302158.2734
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,19850829757.7471
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,34400509852.0436
Hong Kong SAR, China,HKG,GDP (current US$),NY.GDP.MKTP.CD,382054574298.529
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,212388906458.724
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,31020032583.1972
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3549918918777.53
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1371171152331.16
Iran, Islamic Rep.,IRN,GDP (current US$),NY.GDP.MKTP.CD,401504514718.718
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,250842782139.464
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,545629450403.735
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,..
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,509901495702.103
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2254851212731.8
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,19423355367.2372
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4212945159781.4
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,50813642348.6746
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,261421121085.572
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,107440575838.048
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,279034355.108421
Korea, Dem. People's Rep.,PRK,GDP (current US$),NY.GDP.MKTP.CD,..
Korea, Rep.,KOR,GDP (current US$),NY.GDP.MKTP.CD,1712792854202.37
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,10438351483.1677
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,161772221950.942
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,13987627908.8381
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,15843155731.2552
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,43627078481.287
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,..
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2046039024.45854
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,4332000000
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,50491722445.7773
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,..
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,77836396962.772
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,85755006123.5976
Macao SAR, China,MAC,GDP (current US$),NY.GDP.MKTP.CD,47061843715.8565
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,16031702914.9195
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,14084341062.3675
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,399648828546.504
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,6600000000
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,20904898296.2501
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,20956999452.4317
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,284000000
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,10452577062.7581
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,14397127281.3829
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1788886821046.81
Micronesia, Fed. Sts.,FSM,GDP (current US$),NY.GDP.MKTP.CD,460000000
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,16539436547.295
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,..
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,19872180369.6275
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,7404541964.50779
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,141109373209.414
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,20624597846.5495
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,64815031669.0952
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,12351024843.7467
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,154127798.193541
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,40908073366.8455
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1118124749886.29
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,..
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,253465703232.146
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,17829215283.7997
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,16819170420.5653
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,362814951696.073
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,14761237042.2057
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,..
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,485513316503.63
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,108192457737.321
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,338368455317.876
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,263020733.717011
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,83382400000
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,30932496249.7917
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,42956263543.9482
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,267603248655.253
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,437146372729.942
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,811229100687.566
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,287080013574.497
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,117902300000
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,..
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,351002579629.67
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2021421476035.42
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,14097768647.6695
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,934100336.275654
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,..
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,603240748.954207
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1067582933333.33
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,31013986429.1861
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,75187125426.7375
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2141450171.13932
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,3809832236.95959
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,501427500080.059
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1623165683.12849
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,132793622283.071
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,68216781410.5228
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1631286701.11516
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,11679800110.1523
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,377781600985.873
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,..
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1580694712515.71
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,84356860421.13
