Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,110181331
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31538
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,15197
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,16340
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,452524
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,233894
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,218629
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6430370
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3118409
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3311961
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,23251485
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,11588745
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,11662740
Burundi,BDI,"Population, total",SP.POP.TOTL,13238559
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,6575319
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,6663239
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,598682
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,297646
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,301036
Cambodia,KHM,"Population, total",SP.POP.TOTL,16944826
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8384561
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8560264
Cameroon,CMR,"Population, total",SP.POP.TOTL,28647293
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,14289697
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,14357596
Canada,CAN,"Population, total",SP.POP.TOTL,40097761
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,19929169
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,20168593
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,69310
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,34943
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,34367
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5742315
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2869330
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2872985
Chad,TCD,"Population, total",SP.POP.TOTL,18278568
Chad,TCD,"Population, male",SP.POP.TOTL.MA.IN,9174497
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,9104070
Channel Islands,CHI,"Population, total",SP.POP.TOTL,175346
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,86797
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,88549
Chile,CHL,"Population, total",SP.POP.TOTL,19629590
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,9741974
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9887616
China,CHN,"Population, total",SP.POP.TOTL,1410710000
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,719541674
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,691168325
Colombia,COL,"Population, total",SP.POP.TOTL,52085168
Colombia,COL,"Population, male",SP.POP.TOTL.MA.IN,25668667
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,26416500
Comoros,COM,"Population, total",SP.POP.TOTL,852075
Comoros,COM,"Population, male",SP.POP.TOTL.MA.IN,428132
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,423943
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,102262808
"Congo, Dem. Rep.",COD,"Population, male",SP.POP.TOTL.MA.IN,50732478
"Congo, Dem. Rep.",COD,"Population, female",SP.POP.TOTL.FE.IN,51530330
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,6106869
"Congo, Rep.",COG,"Population, male",SP.POP.TOTL.MA.IN,3049941
"Congo, Rep.",COG,"Population, female",SP.POP.TOTL.FE.IN,3056928
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5212173
Costa Rica,CRI,"Population, male",SP.POP.TOTL.MA.IN,2605235
Costa Rica,CRI,"Population, female",SP.POP.TOTL.FE.IN,2606939
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28873034
Cote d'Ivoire,CIV,"Population, male",SP.POP.TOTL.MA.IN,14569031
Cote d'Ivoire,CIV,"Population, female",SP.POP.TOTL.FE.IN,14304003
Croatia,HRV,"Population, total",SP.POP.TOTL,3853200
Croatia,HRV,"Population, male",SP.POP.TOTL.MA.IN,1877920
Croatia,HRV,"Population, female",SP.POP.TOTL.FE.IN,1975280
Cuba,CUB,"Population, total",SP.POP.TOTL,11194449
Cuba,CUB,"Population, male",SP.POP.TOTL.MA.IN,5551684
Cuba,CUB,"Population, female",SP.POP.TOTL.FE.IN,5642765
Curacao,CUW,"Population, total",SP.POP.TOTL,147862
Curacao,CUW,"Population, male",SP.POP.TOTL.MA.IN,70935
Curacao,CUW,"Population, female",SP.POP.TOTL.FE.IN,76927
Cyprus,CYP,"Population, total",SP.POP.TOTL,1260138
Cyprus,CYP,"Population, male",SP.POP.TOTL.MA.IN,631148
Cyprus,CYP,"Population, female",SP.POP.TOTL.FE.IN,628990
Czechia,CZE,"Population, total",SP.POP.TOTL,10873689
Czechia,CZE,"Population, male",SP.POP.TOTL.MA.IN,5362319
Czechia,CZE,"Population, female",SP.POP.TOTL.FE.IN,5511370
Denmark,DNK,"Population, total",SP.POP.TOTL,5946952
Denmark,DNK,"Population, male",SP.POP.TOTL.MA.IN,2958942
Denmark,DNK,"Population, female",SP.POP.TOTL.FE.IN,2988010
Djibouti,DJI,"Population, total",SP.POP.TOTL,1136455
Djibouti,DJI,"Population, male",SP.POP.TOTL.MA.IN,563824
Djibouti,DJI,"Population, female",SP.POP.TOTL.FE.IN,572630
Dominica,DMA,"Population, total",SP.POP.TOTL,73040
Dominica,DMA,"Population, male",SP.POP.TOTL.MA.IN,36282
Dominica,DMA,"Population, female",SP.POP.TOTL.FE.IN,36758
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11332972
Dominican Republic,DOM,"Population, male",SP.POP.TOTL.MA.IN,5683423
Dominican Republic,DOM,"Population, female",SP.POP.TOTL.FE.IN,5649550
Ecuador,ECU,"Population, total",SP.POP.TOTL,18190484
Ecuador,ECU,"Population, male",SP.POP.TOTL.MA.IN,9078518
Ecuador,ECU,"Population, female",SP.POP.TOTL.FE.IN,9111966
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,112716598
"Egypt, Arab Rep.",EGY,"Population, male",SP.POP.TOTL.MA.IN,56987677
"Egypt, Arab Rep.",EGY,"Population, female",SP.POP.TOTL.FE.IN,55728922
El Salvador,SLV,"Population, total",SP.POP.TOTL,6364943
El Salvador,SLV,"Population, male",SP.POP.TOTL.MA.IN,3029841
El Salvador,SLV,"Population, female",SP.POP.TOTL.FE.IN,3335102
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1714671
Equatorial Guinea,GNQ,"Population, male",SP.POP.TOTL.MA.IN,903958
Equatorial Guinea,GNQ,"Population, female",SP.POP.TOTL.FE.IN,810713
Eritrea,ERI,"Population, total",SP.POP.TOTL,3748901
Eritrea,ERI,"Population, male",SP.POP.TOTL.MA.IN,1850523
Eritrea,ERI,"Population, female",SP.POP.TOTL.FE.IN,1898379
Estonia,EST,"Population, total",SP.POP.TOTL,1366188
Estonia,EST,"Population, male",SP.POP.TOTL.MA.IN,649310
Estonia,EST,"Population, female",SP.POP.TOTL.FE.IN,716878
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1210822
Eswatini,SWZ,"Population, male",SP.POP.TOTL.MA.IN,600049
Eswatini,SWZ,"Population, female",SP.POP.TOTL.FE.IN,610772
Ethiopia,ETH,"Population, total",SP.POP.TOTL,126527060
Ethiopia,ETH,"Population, male",SP.POP.TOTL.MA.IN,63545705
Ethiopia,ETH,"Population, female",SP.POP.TOTL.FE.IN,62981355
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,53270
Faroe Islands,FRO,"Population, male",SP.POP.TOTL.MA.IN,27570
Faroe Islands,FRO,"Population, female",SP.POP.TOTL.FE.IN,25700
Fiji,FJI,"Population, total",SP.POP.TOTL,936375
Fiji,FJI,"Population, male",SP.POP.TOTL.MA.IN,469490
Fiji,FJI,"Population, female",SP.POP.TOTL.FE.IN,466885
Finland,FIN,"Population, total",SP.POP.TOTL,5584264
Finland,FIN,"Population, male",SP.POP.TOTL.MA.IN,2759947
Finland,FIN,"Population, female",SP.POP.TOTL.FE.IN,2824316
France,FRA,"Population, total",SP.POP.TOTL,68170228
France,FRA,"Population, male",SP.POP.TOTL.MA.IN,32927891
France,FRA,"Population, female",SP.POP.TOTL.FE.IN,35242337
French Polynesia,PYF,"Population, total",SP.POP.TOTL,308872
French Polynesia,PYF,"Population, male",SP.POP.TOTL.MA.IN,156041
French Polynesia,PYF,"Population, female",SP.POP.TOTL.FE.IN,152831
Gabon,GAB,"Population, total",SP.POP.TOTL,2436566
Gabon,GAB,"Population, male",SP.POP.TOTL.MA.IN,1238576
Gabon,GAB,"Population, female",SP.POP.TOTL.FE.IN,1197990
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2773168
"Gambia, The",GMB,"Population, male",SP.POP.TOTL.MA.IN,1380095
"Gambia, The",GMB,"Population, female",SP.POP.TOTL.FE.IN,1393072
Georgia,GEO,"Population, total",SP.POP.TOTL,3760365
Georgia,GEO,"Population, male",SP.POP.TOTL.MA.IN,1767206
Georgia,GEO,"Population, female",SP.POP.TOTL.FE.IN,1993159
Germany,DEU,"Population, total",SP.POP.TOTL,84482267
Germany,DEU,"Population, male",SP.POP.TOTL.MA.IN,41695527
Germany,DEU,"Population, female",SP.POP.TOTL.FE.IN,42786740
Ghana,GHA,"Population, total",SP.POP.TOTL,34121985
Ghana,GHA,"Population, male",SP.POP.TOTL.MA.IN,17016528
Ghana,GHA,"Population, female",SP.POP.TOTL.FE.IN,17105458
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32688
Gibraltar,GIB,"Population, male",SP.POP.TOTL.MA.IN,16334
Gibraltar,GIB,"Population, female",SP.POP.TOTL.FE.IN,16355
Greece,GRC,"Population, total",SP.POP.TOTL,10361295
Greece,GRC,"Population, male",SP.POP.TOTL.MA.IN,5063924
Greece,GRC,"Population, female",SP.POP.TOTL.FE.IN,5297371
Greenland,GRL,"Population, total",SP.POP.TOTL,56865
Greenland,GRL,"Population, male",SP.POP.TOTL.MA.IN,29796
Greenland,GRL,"Population, female",SP.POP.TOTL.FE.IN,27069
Grenada,GRD,"Population, total",SP.POP.TOTL,126183
Grenada,GRD,"Population, male",SP.POP.TOTL.MA.IN,63041
Grenada,GRD,"Population, female",SP.POP.TOTL.FE.IN,63142
Guam,GUM,"Population, total",SP.POP.TOTL,172952
Guam,GUM,"Population, male",SP.POP.TOTL.MA.IN,86992
Guam,GUM,"Population, female",SP.POP.TOTL.FE.IN,85960
Guatemala,GTM,"Population, total",SP.POP.TOTL,17602431
Guatemala,GTM,"Population, male",SP.POP.TOTL.MA.IN,8710000
